# version: 1.2.1
# date: 2026-05-29
Manufacturer,Model,Model (Exif),Image Source (XMP),Camera,Nominal Sensor Size,sensor_w,sensor_h,Image Width
DJI,Matrice 4E,"M4E, M4ED",,Medium,"1/1.3""",9.65,7.24,
DJI,Matrice 4E,"M4E, M4ED",ZoomCamera,Zoom,"1/1.5""",7.36,5.52,
DJI,Matrice 4T,"M4T, M4TD",WideCamera,Wide,"1/1.3""",9.65,7.24,
DJI,Matrice 4T,"M4T, M4TD",ZoomCamera,Zoom,"1/1.5""",7.36,5.52,
DJI,Matrice 4T,"M4T, M4TD",InfraredCamera,Thermal,Thermal Base,7.68,6.14,
Autel,Evo I,XB015,,,,,,
Autel,Evo II 8K,XT701,,,"1/2""",6.4,4.8,
Autel,Evo II Pro 6k,"XT705, XL505",,,"1""",13.2,8.8,
Autel,Evo II Pro V3,,,,"1""",13.2,8.8,
Autel,Evo II V3,XT706,,,,,,
Autel,Evo II Dual 640T,XL709,,RGB,"1/1.28""",7.7,5.8,
Autel,Evo II Dual 640T,XL709,,Thermal,Thermal Base,7.68,6.14,
Autel,Evo II Dual 640T,"XL725, XL726",,RGB,"1/2""",6.4,4.8,
Autel,Evo II Dual 640T,"XL725, XL726",,Thermal,Thermal Base,7.68,6.14,
Autel,Evo Nano,,,RGB,"1/2""",6.4,4.8,
Autel,Evo Nano +,XL724,,RGB,"1/1.28""",7.7,5.8,
Autel,Evo Lite +,XL720,,RGB,"1""",13.2,8.8,
Autel,Evo Lite,,,RGB,"1/1.28""",7.7,5.8,
Autel,Evo Lite 6k,,,RGB,"1""",13.2,8.8,
Autel,Evo Lite Dual,XL715,,RGB,"1/2""",6.4,4.8,
Autel,Evo Lite Dual,XL715,,Thermal,Thermal Base,7.68,6.14,
Autel,EVO Max 4N,"XL811, XL814, XL815",,RGB,"1/1.28""",7.7,5.8,
Autel,EVO Max 4N,"XL811, XL814, XL815",,Thermal,Thermal Base,7.68,6.14,
Autel,EVO Max 4T,XL801,,RGB,"1/2""",6.4,4.8,
Autel,EVO Max 4T,XL801,,Thermal,Thermal Base,7.68,6.14,
Autel,EVO Max 4T XE,,,RGB,"1/2""",6.4,4.8,
Autel,EVO Max 4T XE,,,Thermal,Thermal Base,7.68,6.14,
Autel,Alpha,,,Zoom,"1/1.8""",7.11,5.33,
Autel,Alpha,,,Wide,"1/2""",6.4,4.8,
Autel,Alpha,,,Thermal,Thermal Base,7.68,6.14,
Skydio,X2,X2 Narrow,MAIN_VISIBLE,Zoom,"1/2.3""",6.16,4.62,
Skydio,X2,X2 Narrow,INFRARED,Thermal,,1.44,1.92,
Skydio,X10,VT300-L_93,,Wide,"1""",13.2,8.8,
Skydio,X10,VT300-L_50,,Narrow,"1/1.7""",7.53,5.64,
Skydio,X10,VT300-Z_13,,Zoom,"1/2""",6.4,4.8,
Skydio,X10,VT300-Z_50,,Narrow,"1/1.7""",7.53,5.64,
Skydio,X10,VT100-L_93,,Wide,"1""",13.2,8.8,
Skydio,X10,VT100-L_50,,Narrow,"1/1.7""",7.53,5.64,
Skydio,X10,VT300-L_40IR,,Thermal,Thermal Base,7.68,6.144,640
Skydio,X10,VT300-Z_40IR,,Thermal,Thermal Base,7.68,6.144,640
Skydio,2+,2+,,,"1/2.3""",6.16,4.62,
Parrot,ANAFI Ai,ANAFIAi,,,"1/2""",6.4,4.8,
Parrot,Anafi USA,Anafi,,,"1/2.4""",5.9,4.43,
Anzu,Raptor T,Raptor T,WideCamera,Wide,"1/2""",6.4,4.8,
Anzu,Raptor T,Raptor T,ZoomCamera,Zoom,"1/2""",6.4,4.8,
Anzu,Raptor T,Raptor T,InfraredCamera,Thermal,Thermal Base,7.68,6.14,
Anzu,Raptor,Raptor,WideCamera,Wide,"1/2""",6.4,4.8,
Anzu,Raptor,Raptor,ZoomCamera,Zoom,"1/2""",6.4,4.8,
Sony,ILX-LR1,ILX-LR1,,,"1.38""",35.7,23.8,
Sony,RX1R II,DSC-RX1RM2,,,Full Frame,36,24,
Canon,EOS 5DS R,Canon EOS 5DS R,,,Full Frame,36,24,
